,pilot_code,user_in_role_id,detection_variable_type,detection_variable_name,zero_time,interval_start,interval_end,step,measure_value,Normalised
322,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/1/2017 1:00,1/2/2017 1:00,0,1465.73,0.761931446
323,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/2/2017 1:00,1/3/2017 1:00,1,1364.51,0.674669816
324,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/3/2017 1:00,1/4/2017 1:00,2,1407.5,0.711731439
325,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/4/2017 1:00,1/5/2017 1:00,3,1421.71,0.723981861
326,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/5/2017 1:00,1/6/2017 1:00,4,1406.88,0.711196938
327,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/6/2017 1:00,1/7/2017 1:00,5,1407.46,0.711696955
328,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/7/2017 1:00,1/8/2017 1:00,6,1684.93,0.950903479
329,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/8/2017 1:00,1/9/2017 1:00,7,1398.49,0.70396393
330,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/9/2017 1:00,1/10/2017 1:00,8,1479.2,0.773543915
331,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/10/2017 1:00,1/11/2017 1:00,9,1420.02,0.722524915
332,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/11/2017 1:00,1/12/2017 1:00,10,1409.17,0.713171144
333,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/12/2017 1:00,1/13/2017 1:00,11,1417.89,0.720688644
334,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/13/2017 1:00,1/14/2017 1:00,12,1476.43,0.771155902
335,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/14/2017 1:00,1/15/2017 1:00,13,1411.19,0.714912583
336,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/15/2017 1:00,1/16/2017 1:00,14,1395.96,0.70178282
337,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/16/2017 1:00,1/17/2017 1:00,15,1454.29,0.752069037
338,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/17/2017 1:00,1/18/2017 1:00,16,1439.18,0.739042726
339,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/18/2017 1:00,1/19/2017 1:00,17,1395.42,0.701317287
340,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/19/2017 1:00,1/20/2017 1:00,18,1422.74,0.724869823
341,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/20/2017 1:00,1/21/2017 1:00,19,1429.99,0.731120039
342,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/21/2017 1:00,1/22/2017 1:00,20,1366.28,0.676195731
343,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/22/2017 1:00,1/23/2017 1:00,21,1461.52,0.75830201
344,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/23/2017 1:00,1/24/2017 1:00,22,1430.85,0.731861443
345,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/24/2017 1:00,1/25/2017 1:00,23,1408.94,0.712972861
346,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/25/2017 1:00,1/26/2017 1:00,24,1402.39,0.707326115
347,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/26/2017 1:00,1/27/2017 1:00,25,1427.51,0.728982034
348,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/27/2017 1:00,1/28/2017 1:00,26,1499.79,0.791294527
349,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/28/2017 1:00,1/29/2017 1:00,27,1399.63,0.704946722
350,BHX,66,MEA,physicalactivity_calories,1/2/2017 1:00,1/29/2017 1:00,1/30/2017 1:00,28,1375.38,0.684040829
