,Unnamed: 0,pilot_code,user_in_role_id,detection_variable_type,detection_variable_name,zero_time,interval_start,interval_end,step,measure_value,Normalised,hidden_states
1417,1739,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/1/2017 1:00,1/2/2017 1:00,0,5471.0,0.41246984299999995,1
1418,1740,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/2/2017 1:00,1/3/2017 1:00,1,1779.0,0.13412243699999998,0
1419,1741,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/3/2017 1:00,1/4/2017 1:00,2,3347.0,0.252337153,0
1420,1742,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/4/2017 1:00,1/5/2017 1:00,3,3865.0,0.291390229,0
1421,1743,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/5/2017 1:00,1/6/2017 1:00,4,3324.0,0.250603136,0
1422,1744,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/6/2017 1:00,1/7/2017 1:00,5,3346.0,0.25226176100000003,0
1423,1745,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/7/2017 1:00,1/8/2017 1:00,6,10746.0,0.8101628470000001,1
1424,1746,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/8/2017 1:00,1/9/2017 1:00,7,3018.0,0.227533172,0
1425,1747,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/9/2017 1:00,1/10/2017 1:00,8,5963.0,0.449562726,1
1426,1748,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/10/2017 1:00,1/11/2017 1:00,9,3804.0,0.286791315,0
1427,1749,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/11/2017 1:00,1/12/2017 1:00,10,3408.0,0.256936068,0
1428,1750,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/12/2017 1:00,1/13/2017 1:00,11,3726.0,0.280910736,0
1429,1751,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/13/2017 1:00,1/14/2017 1:00,12,5862.0,0.44194813,0
1430,1752,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/14/2017 1:00,1/15/2017 1:00,13,3482.0,0.262515078,0
1431,1753,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/15/2017 1:00,1/16/2017 1:00,14,2926.0,0.220597105,0
1432,1754,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/16/2017 1:00,1/17/2017 1:00,15,5054.0,0.38103136299999996,0
1433,1755,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/17/2017 1:00,1/18/2017 1:00,16,4503.0,0.33949035,0
1434,1756,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/18/2017 1:00,1/19/2017 1:00,17,2907.0,0.219164656,0
1435,1757,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/19/2017 1:00,1/20/2017 1:00,18,3903.0,0.294255127,0
1436,1758,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/20/2017 1:00,1/21/2017 1:00,19,4168.0,0.314234017,0
1437,1759,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/21/2017 1:00,1/22/2017 1:00,20,1843.0,0.138947527,0
1438,1760,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/22/2017 1:00,1/23/2017 1:00,21,5318.0,0.40093486100000003,0
1439,1761,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/23/2017 1:00,1/24/2017 1:00,22,4199.0,0.31657117,0
