,AIC,BIC,Log_Likelihood,activity,n_states,user
0,-503.0533882771414,-477.96268697538886,254.5266941385707,physicalactivity_calories,2,66
1,-513.527215075458,-463.34581247195297,262.763607537729,physicalactivity_calories,3,66
2,-567.4263762272222,-483.79070522138056,293.7131881136111,physicalactivity_calories,4,66
3,-558.4926762650666,-433.0391697563041,294.2463381325333,physicalactivity_calories,5,66
4,-550.5066215865712,-374.87171247430365,296.2533107932856,physicalactivity_calories,6,66
5,-534.7647491041915,-300.58487028783475,295.38237455209577,physicalactivity_calories,7,66
6,-527.9660924176225,-226.87767679659237,299.98304620881123,physicalactivity_calories,8,66
7,-501.92597552186464,-125.565455995577,295.9629877609323,physicalactivity_calories,9,66
8,-483.8034210925357,-23.80723056040631,296.90171054626785,physicalactivity_calories,10,66
9,-1390.4214025703845,-1365.330701268632,698.2107012851923,physicalactivity_intense_time,2,66
10,-1261.734351611287,-1211.552949007782,636.8671758056435,physicalactivity_intense_time,3,66
11,-1181.967027476122,-1098.3313564702803,600.983513738061,physicalactivity_intense_time,4,66
12,-1121.0473006521593,-995.5937941433967,575.5236503260796,physicalactivity_intense_time,5,66
13,-1069.5508920695374,-893.9159829572699,555.7754460347687,physicalactivity_intense_time,6,66
14,-1023.2799765170155,-789.1000977006587,539.6399882585077,physicalactivity_intense_time,7,66
15,-979.9953061875917,-678.9068905665616,525.9976530937959,physicalactivity_intense_time,8,66
16,-938.36024969306,-561.9997301667725,514.18012484653,physicalactivity_intense_time,9,66
17,-897.5126523818702,-437.51646184974084,503.7563261909351,physicalactivity_intense_time,10,66
18,-331.045772658649,-305.9550713568965,168.5228863293245,physicalactivity_moderate_time,2,66
19,-429.0034701406492,-378.82206753714416,220.5017350703246,physicalactivity_moderate_time,3,66
20,-442.6081600340596,-358.9724890282179,231.3040800170298,physicalactivity_moderate_time,4,66
21,-448.9922835447676,-323.53877703600506,239.4961417723838,physicalactivity_moderate_time,5,66
22,-451.75892437199025,-276.1240152597227,246.87946218599512,physicalactivity_moderate_time,6,66
23,-443.69963749418935,-209.51975867783256,249.84981874709467,physicalactivity_moderate_time,7,66
24,-448.31860146592635,-147.23018584489625,260.1593007329632,physicalactivity_moderate_time,8,66
25,-432.2843446193002,-55.92382509301257,261.1421723096501,physicalactivity_moderate_time,9,66
26,-410.2491789743083,49.74701155782111,260.12458948715414,physicalactivity_moderate_time,10,66
27,-187.93401294896896,-162.84331164721644,96.96700647448448,physicalactivity_soft_time,2,66
28,-206.73572960454638,-156.55432700104137,109.36786480227319,physicalactivity_soft_time,3,66
29,-208.63692154601463,-125.00125054017293,114.31846077300732,physicalactivity_soft_time,4,66
30,-260.18070352865834,-134.72719701989578,145.09035176432917,physicalactivity_soft_time,5,66
31,-254.39094492645995,-78.75603581419239,148.19547246322998,physicalactivity_soft_time,6,66
32,-243.35687775839529,-9.176998942038495,149.67843887919764,physicalactivity_soft_time,7,66
33,-246.80738871200617,54.28102690902392,159.4036943560031,physicalactivity_soft_time,8,66
