,AIC,BIC,activity,n_states,user
0,-463.0533882771414,-107.95727327799216,physicalactivity_calories,2,66
1,-1350.4214025703845,-995.3252875712353,physicalactivity_intense_time,2,66
2,-291.045772658649,64.05034234050021,physicalactivity_moderate_time,2,66
3,-147.93401294896896,207.16210205018027,physicalactivity_soft_time,2,66
4,-201.84714912730874,153.24896587184048,walk_distance,2,66
5,-208.3975370532406,146.69857794590862,walk_steps,2,66
6,-99.94114532788845,255.15496967126077,sleep_awake_time,2,66
7,-21.865825096268253,333.23028990288094,sleep_deep_time,2,66
8,-21.00447712620091,334.0916378729483,sleep_light_time,2,66
9,-189.42796840775222,165.668146591397,sleep_tosleep_time,2,66
10,-80.70801550743379,274.3880994917154,sleep_wakeup_num,2,66
